Sample,Subgroup,17:35076296-35282086,17:61247968-61578637,12:70462057-70560603,16:67314736-68371045,1:2927-43870,3:75479859-75535753,20:194755-763411,3:75546791-75799957,6:334423-600935,6:611289-618999,6:32766023-32821094,6:40747924-42826227,22:22725750-22731544,3:586636-625689,1:149579637-149582884,12:84542006-85443011,1:193480150-193527058,8:166452-181530,19:59406523-59440274,11:58439169-58548776,4:104413477-106965473,10:46396163-46568496,8:97639200-98703368,1:199087690-199111062,11:7803570-10028138,17:36250672-36351895,16:72933295-73012768,23:153466463-153491568,5:69274433-70345552,17:73979103-74243371,5:763494-786455,16:69763173-70593293,15:55258039-57620619,12:97156507-97840955,19:56816785-56859204,15:53166-592121,11:76374332-76586638,3:46761824-46823673,8:98721543-100441109,5:802518-826044,6:139797732-140252392,8:7040596-7261418,8:39368509-39505256,22:22681244-22690716,3:18712267-19922255,14:19350230-19397709,6:146738-154410,15:19805960-19845942,4:846154-890807,17:3393853-4388997,3:4109224-4214897,14:21420105-21448635,6:252939-284743,22:17398378-19199401,22:15630903-16476727,6:32732764-32738443,19:9758535-10191584,1:149369522-149394958,14:73071404-73092018,8:32962484-33337952,5:150148732-150201145,1:146581869-146634734,9:24873989-25144678,22:41221190-41290227,16:68710277-68751390,17:41062669-41447005,3:75914406-75957900,11:5742476-5762182,23:3229-45135,9:153131-194193,1:244693374-244865778,7:141965869-141978333,8:12623479-14185328,17:4393276-4966472,1:239391358-239517083,17:37416931-38029088,16:28508726-28529942,16:33280759-33424939,16:30561643-31835555,1:120313797-120384620,17:2286862-2330659,9:42913008-43066618,8:184617-808139,12:10464018-10484956,1:16126501-16531740,15:44193179-48393597,17:41527705-41566540,15:57627602-58554678,1:145820605-146012014,6:135204537-135259324,6:170856656-170943103,22:19209122-19829912,10:89707445-89727363,14:105602756-105630089,8:14193778-14291793,17:52115865-52175252,23:422315-462468,22:37683612-37705310,8:7359040-7789937,1:181387023-182641159,3:196908262-196937230,6:295212-314420,3:75870144-75896020,8:29233976-29264810,14:105857193-105881279,1:141474904-141491470,6:110408187-110448454,1:146525071-146549143,19:232836-236846,7:38065862-38069416,1:186293872-189329179,6:144123196-146421012
Array.18,HER2+,2,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1,1,0,1,-1,0,0,0,0,-1,0,-1,-1,0,1,-1,0,1,0,-1,1,0,0,0,-1,-1,1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,0,-1,0,0,0,0,2,-1,-1,0,1,-1,0,0,-1,-1,-1,0,-1,1,0,-1,-1,1,-1,1,0,1,1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,0,0,-1,1,0,-1,-1,-1,0,1,-1,1,-1,0,1,-1
Array.82,HR+,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,2,0,1,0,0,0,-1,0,0,1,0,1,0,1,0,1,-1,0,-1,0,1,0,-1,0,1,1,0,0,0,0,-1,1,0,0,1,0,0,-1,-1,0,1,-1,0,1,-1,0,-1,0,-1,1,1,1,0,-1,0,0,0,0,0,-1,0,1,0,0,0,1,-1,0,1,1,-1,0,1,0,1,0,0,-1,1,1,1,-1,0,1,2
Array.75,HER2+,2,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,1,0,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,-1,-1,-1,1,1,0,0,1,0,-1,-1,0,1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,0,-1,-1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,2,0,-1,1,0,0
Array.139,HER2+,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,1,1,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,0,1,0,0,-1,-1,-1,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,-1,-1,0,0,0,0,1,0,-1,-1,1,-1,0,1,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,-1,0,1,0,1,0,0,1,0
Array.117,HR+,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,-1,1,0,0,0,-1,0,0,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,2,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,1,1,0,0,0,1,-1,0,0,0,-1,0,1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1
Array.60,HR+,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,-1,0,1,0,0,0,0,0,0,-1,1,1,0,1,-1
Array.38,Triple Neg,-1,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,0,1,-1,0,2,0,-1,-1,0,-1,0,-1,1,2,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,0,1,0,0
Array.72,HER2+,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,-1,-1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,1,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,-1,0,0,0,1,0,0,1,0
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Array.111,Triple Neg,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,-1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,2,0,-1,-1,-1,-1,1,0,0,0,1,1,1,1,1,1,0,0,0,-1,0,1,1,1,1,0,0,-1,1,1,2,1,-1,0,1,0,0,1,0,1,0,1,-1,1,0,0,0,0,0,0,1,1,0,1,-1,1,1,-1,0,1,1,1,0,-1,-1,1,2,1,0,1,1,1
Array.7,HR+,-1,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,0,1,0,1,0,0,0,0,-1,0,-1,0,1,0,-1,-1,0,1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0,1,1,-1,1,1,1,0,-1,0,-1,0,0,0,0,1,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,1,-1,-1,-1,0,1,-1,2,2,-1,0,0,0,0,0,-1,1,1,-1,1,0,1,0,-1
Array.53,HER2+,2,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,2,-1,0,1,-1,-1,0,0,-1,0,0,0,1,0,0,1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,2,-1,1,0,-1,0,-1,0,-1,1,0,1,-1,0,0,-1,0,0,0,-1,-1,0,-1
Array.71,Triple Neg,0,0,0,0,0,-1,-1,0,0,0,0,2,0,-1,1,0,1,-1,-1,0,0,0,1,1,-1,0,-1,1,-1,0,-1,1,0,0,-1,0,0,-1,1,0,0,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,1,-1,-1,-1,1,-1,0,-1,0,-1,-1,1,-1,1,1,-1,0,1,0,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,-1,1,1,0,-1,-1,-1,1,-1,1,0,-1,1,0
Array.47,Triple Neg,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,1,0,-1,0,0,0,-1,0,1,0,0,0,-1,2,-1,1,0,0,0,0,0,0,-1,-1,1,0,-1,0,1,0,-1,1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,-1,-1,1,0,1,-1,0,-1,0,0,0,1,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,0,0,1,0,-1,0,-1,0,0,0,0,0,0,-1
Array.107,Triple Neg,-1,0,0,0,0,0,0,0,1,1,1,1,-1,0,1,-1,1,-1,0,-1,-1,0,0,0,-1,0,-1,1,-1,0,0,1,-1,1,0,-1,0,0,0,0,0,0,1,-1,0,1,0,0,0,-1,0,0,1,-1,-1,1,0,2,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,1,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,1,1,1,0,-1,1,0,1,0,1,0,1,0
Array.89,HR+,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,1,1,0,0,0,0,2,-1,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
Array.35,HR+,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,1,0,1,1,0,0,0,0,1,1,1,0,-1,1,0,0,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,1,-1,0,0,1,0,0,0,-1,0,0,-1,-1,1,0,-1
Array.93,Triple Neg,0,0,0,0,0,-1,0,1,1,1,1,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,-1,2,0,0,0,0,1,0,0,-1,0,0,1,-1,0,0,-1,0,1,1,-1,0,0,1,1,0,-1,1,1,-1,-1,-1,0,1,2,0,-1,0,-1,-1,1,2,1,0,-1,0,1,0,0,1,0,1,-1,1,-1,1,0,0,-1,0,1,1,1,0,1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,1,1,1
Array.134,HR+,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,0,0,-1,1,1,1,1,-1,1,0,1,0,-1,0,1,0,0,0,1,1,0,-1,-1,2,-1,1,-1,0,-1,0,1,1,0,1,-1,-1,1,0,-1,-1,-1,0,1,-1,-1,-1,1,1,1,0,-1,1,0,-1,1,1,1,1,1,1,0,0,0,-1,1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,1,1,1,-1,-1,0,-1,1,-1,1,1,-1
Array.130,HER2+,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,-1,1,0,-1,-1,0,1,-1,0,2,1,0,0,0,0,0,0,1,2,1,0,2,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,2,-1,-1,-1,1,0,0,0,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,1,0,0,-1,0,-1,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,1
