Sample,Subgroup,12:75396411-75693696,12:83810013-84520659,22:41293579-41298170,17:35076296-35282086,6:75632175-75961320,8:56798074-58669985,2:61025070-61061211,4:846154-890807,22:26999547-27819338,11:71305189-71377650,22:40072147-41213949,1:2927-43870,1:16799163-16836986,9:68214035-68262872,16:191307-2499608,1:193480150-193527058,9:6631759-6684944,17:22315936-22324326,16:48783687-49225359,5:140203440-140221835,6:611289-618999,4:56538786-56886195,16:82128902-83298645,1:116925150-116938461,8:36719696-36769058,5:140433878-142819410,8:39281207-39333915,16:68667006-68679377,6:1292057-1353261,1:104018651-104671817,1:149579637-149582884,10:27375620-30712263,1:199047681-199054142,7:140213-293548,12:64727853-66012212,1:2664285-2665530,5:30493484-32133136,5:93308740-93320336,16:30561643-31835555,16:68710277-68751390,17:1703729-1713758,13:20633975-20649522,8:39356595-39363050,1:83381408-83603746,14:105857193-105881279,5:34119335-34407822,8:36512939-36612488,19:32964337-33432675,6:32732764-32738443,1:212163869-213601626,10:46396163-46568496,2:56853626-57106587,6:146738-154410,6:1535319-2846224,14:66683727-67322584,1:2882919-2901629,3:89488409-89516057,6:6356121-7863271,17:42161364-42296514,1:146581869-146634734,4:52891744-53940563,11:58566389-58626432,16:14956177-14988855,17:77442683-77478901,6:102825672-106012872,1:72489681-72620747,1:149369522-149394958,5:154006451-157875296,1:219311634-221538990,13:73137009-77218661,17:48032081-48363259,5:68785515-68850823,8:97415915-97633935,18:51767179-55758094,12:59087176-60039028,4:69215734-69311985,11:70562838-70610269,16:41636-151666,1:224140920-225920251,13:54857465-56596626,3:46761824-46823673,3:34840321-39070614,5:152572508-153979903,16:9048939-13407657,8:38313929-38522146,22:37683612-37705310,5:104851801-108410768,1:217416088-219300768,20:32377973-32691183,8:35875555-36133992,5:89942176-93303306,6:29939288-29950805,14:73106558-73114128,1:38432360-38569674,16:32378126-32748349,6:19049822-20716660,17:11469879-12854787,20:56302917-57359062,23:3229-45135,6:22060377-24236375,9:42913008-43066618,8:184617-808139,5:60285997-62401952,17:77503378-77503685,8:143780031-144945861,17:19083766-19526967,6:14553443-16323782,16:68606309-68648091,10:21859872-21874211,8:58694882-59488208,8:145962567-146264846,1:239544570-239630032,8:30109992-30278937
Array.38,Triple Neg,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,2,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,0,0,0,0,-1,-1,-1,0,2,-1,-1,0,0,-1,-1,0,-1,0,1,-1,-1,0,-1,-1,0,0,-1,1,1,-1,-1,0,0,0,1,0,-1
Array.72,HER2+,1,0,0,2,-1,1,0,0,0,1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,1,-1,0,0,1,0,1,0,-1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,1,0,0,0,0,1,1,1,-1
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.137,HR+,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,-1,1,0,0,1,0,0,0,-1,-1,-1,1,0,-1,0,0,0,0,1,0,0,0,0,-1,1,-1,0,0,1,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0
Array.145,Triple Neg,-1,-1,-1,0,-1,0,1,-1,0,-1,-1,-1,0,-1,0,1,1,0,-1,-1,-1,1,0,0,-1,-1,0,0,-1,0,1,0,1,0,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,0,-1,-1,0,-1,-1,0,0,1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,1,1,0,1,1,-1,0,1,-1,-1,0,1,0,-1,-1,0,0,1,1,-1
Array.31,Triple Neg,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,1,1,1,1,2,0,2,1,1,1,2,0,0,1,0,1,2,0,1,2,1,1,0,1,0,2,2,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,-1,0,0,0,0,0,0,2,1,0,-1,1,0,1,0,1,1,0,1,2,-1,0,0,0,2,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
Array.135,Triple Neg,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,-1,1,0,1,1,0,0,1,0,0,-1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,2,0,1,1,1
Array.111,Triple Neg,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,-1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,-1,0,2,-1,0,0,1,1,1,0,1,0,0,-1,0,1,1,1,1,1,0,1,1,-1,0,1,1,-1,0,1,1,1,1,1,0,1,1,1,1,-1,0,0,1,0,1,0,2,1,1,1,-1
Array.21,HER2+,1,0,1,2,0,2,1,0,0,1,1,0,-1,0,0,0,1,1,1,0,0,0,0,-1,-1,0,-1,0,0,0,1,1,0,1,1,0,1,0,1,-1,0,0,-1,1,0,1,-1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,-1,1,0,1,1,1,0,1,0,-1,0,0,1,-1,1,0,1,0,-1,0,1,0,0,1,1,0,2,1,1,1,-1,0,1,0,1,1,0,0,1,0,1,1
Array.59,HR+,0,0,-1,0,-1,1,-1,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,2,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,-1,1,0,-1,0,0,0,2,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,2,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,1,-1,-1,-1,-1,1,1,-1,-1
Array.47,Triple Neg,0,0,1,0,-1,0,0,-1,0,-1,1,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,-1,1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,1,-1,0,0,0,-1,0,0,0,1,0,-1,-1,1,0,0,0,-1,1,1,-1,1,0,0,0,1,0,0
Array.107,Triple Neg,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,1,0,-1,0,-1,1,-1,-1,0,-1,-1,-1,0,0,0,1,1,1,0,0,0,0,-1,0,-1,-1,0,1,0,1,0,-1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,1,0,2,-1,1,0,0,-1,0,0,0,-1,-1,1,1,0,0,0,-1,0,-1,-1,-1,1,0,-1,-1,1,-1,0,1,1,-1,1,0,1,0,-1,-1,0,0,-1,1,0,1,0,0,0,-1
Array.89,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Array.30,Triple Neg,0,0,1,0,1,1,1,-1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,1,1,1,0,1,1,0,0,1,0,0,1,0,-1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,-1,0,1,0,-1,0,1,1,0,0,1,0,0,-1,0,0,1,1,0,0,0,0,1,-1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,2,0,1,1,1,1,2,1,0
Array.35,HR+,0,0,-1,0,0,0,0,-1,-1,0,-1,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0
Array.10,HER2+,0,0,-1,2,-1,0,0,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,-1,0,0,0,0,1,0,0,-1,1,-1,0,0,0,-1,-1,1,0,1,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,-1,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,1,0,1,-1
Array.123,HR+,2,1,0,0,0,1,0,0,-1,0,0,0,-1,1,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,1,-1,2,0,0,0,0,-1,2,0,1,0,-1,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,-1,1,-1,0,2,0,1,0,0,0,2,0,1,-1,0,0,1,-1,-1,-1,0,0,0,0,0,1,1,0,0,1,-1,0,0,1,-1,1,-1,1,1,-1,0,1,1,-1,1,-1,0,1,1,0,0
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Array.134,HR+,1,1,-1,1,-1,1,0,0,-1,0,-1,-1,0,-1,1,1,-1,1,-1,0,1,0,-1,-1,0,0,1,-1,0,-1,1,1,1,0,1,-1,0,0,1,-1,1,-1,1,-1,-1,0,0,0,1,1,-1,0,0,1,0,1,1,1,1,1,0,0,0,1,-1,-1,-1,0,1,-1,1,0,1,-1,1,-1,0,1,1,-1,1,1,0,1,0,-1,0,1,1,0,0,1,0,-1,1,1,1,1,0,1,0,-1,0,1,1,1,1,-1,1,1,1,1,-1
Array.130,HER2+,0,0,0,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,1,0,0,1,1,0,1,2,0,0,0,-1,0,0,-1,0,2,1,-1,0,0,0,0,1,-1,0,0,0,0,1,0,0,-1,1,-1,0,0,-1,0,-1,2,-1,1,0,0,-1,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,1,0,0,-1,0,1,0,0,-1,-1,-1,1,-1,0,0,0,1,1,1,-1
