Sample,Subgroup,1:35903416-37578554,17:35076296-35282086,8:8117271-8132139,16:68710277-68751390,20:194755-763411,11:86480032-87537774,6:40747924-42826227,20:1546858-1557784,3:16617887-16778176,16:82128902-83298645,19:40530071-40556205,4:191191940-191311992,5:69274433-70345552,22:24876788-26191987,4:143274574-145390888,1:245150122-245299678,8:7040596-7261418,12:70462057-70560603,2:196212-479448,2:158911197-159695436,5:17100908-17382633,7:141965869-141978333,6:32672983-32702995,1:42754729-43839204,3:24543616-25463517,1:149369522-149394958,12:69315717-70369674,18:14120810-14602888,1:16757397-16794038,18:19733211-22259536,11:5742476-5762182,11:79858760-79974644,8:97415915-97633935,1:146525071-146549143,5:70716278-70721505,20:37153404-38764590,18:14079350-14091534,16:68838368-68874167,3:84212782-84761534,1:193480150-193527058,14:19505698-19515781,3:75845446-75858339,11:31323535-31998955,1:2611444-2641811,1:72489681-72620747,6:29962849-30010234,8:184617-808139,18:3556635-4569844,2:132210961-132323628,13:47691104-47937120,6:22060377-24236375,11:46368437-47509993,6:18550170-19001738,18:66394814-68375250,22:15579496-15599936,1:16799163-16836986,4:191062719-191134340,3:46761824-46823673,11:48475465-48621072,15:18722595-18790589,6:32718991-32728487,3:196947293-196962380,14:19154992-19216369,20:55315764-55877718,3:75870144-75896020,8:28883487-29205723,16:28508726-28529942,21:24749516-25496273,13:20633975-20649522,15:32667508-32751435,20:17587221-18440839,11:5849760-5891661,1:17042808-19187091,2:712-125634,1:43848683-44593810,3:113854434-114473399,1:16126501-16531740,23:153466463-153491568,8:39368509-39505256,20:69521-189250,8:55862289-56770315,15:32523241-32594902,18:15079189-15370631,20:34883639-35743960,22:22681244-22690716,8:36347029-36416687,7:143321677-143391065,18:68386012-71032530,18:51630663-51747511,23:3229-45135,18:4316-75432,8:16373516-16668380,17:11469879-12854787,20:35750000-35791838,1:239544570-239630032,17:8567837-9872633,6:204528-238441,2:61025070-61061211,16:68606309-68648091,1:8050444-10537398,6:147893082-148854440,15:32605086-32654561,1:217416088-219300768,22:37683612-37705310,14:73123697-74424755,19:232836-236846,16:29586070-30555422,6:131304839-132036965,1:239391358-239517083,9:42913008-43066618,23:959048-1235529,6:135204537-135259324,13:56645552-56673183,16:18701947-19396257,1:2882919-2901629,16:86985669-88124384,11:55124730-55194990,16:54354643-54379834
Array.75,HER2+,0,2,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,-1,1,-1,0,-1,0,0,-1,-1,0,0,1,-1,-1,1,0,0,-1,0,-1,0,0,-1,-1,-1,1,-1,0,0,-1,-1,-1,0,1,0,-1,-1,0,0,0,1,-1,0,1,1,-1,0,-1,-1,1,0,-1,1,-1,-1,0,-1,-1,-1,1,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,0,1,0,0,0,0,0,-1,0
Array.2,HR+,0,1,-1,-1,1,0,-1,1,0,0,-1,0,0,0,-1,1,-1,0,0,-1,1,-1,-1,0,0,-1,0,-1,1,-1,-1,0,1,1,0,1,-1,1,0,1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,0,-1,0,-1,-1,1,0,1,-1,-1,0,-1,-1,0,1,0,0,-1,0,0,0,1,-1,1,0,1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,0,1,0,0,0,1,-1,0,-1,-1,-1,-1,1,1,-1,0,-1
Array.117,HR+,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,1,1,-1,0,0,0,-1,-1,-1
Array.137,HR+,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,1,-1,-1,0,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,-1,0,1,0,0,1,0,-1,0,0,0,-1,0,0,1,0,0,0,-1,0,1,1,0,0,0,0,0,-1,0,1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,-1,0,1,-1,-1,0
Array.145,Triple Neg,1,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,0,1,0,-1,-1,-1,0,-1,1,1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,-1,1,-1,0,0,-1,-1,-1,0,-1,1,0,0,-1,0,-1,1,-1,1,1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,0,1,1,-1,0,0,-1,0,0,-1,-1
Array.31,Triple Neg,1,0,0,2,1,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,2,2,1,0,0,1,1,0,0,0,1,0,1,-1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,2,0,1,0,-1,1,0,0,2,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,-1,0,-1,0,0,1,1,1,1,1,1,0,1,1,1,-1,1
Array.135,Triple Neg,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,-1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,-1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,-1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,-1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,0
Array.111,Triple Neg,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,-1,0,0,1,0,1,-1,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,1,-1,1,1,1,1,1,1,0,1,0,-1,1,1,0,2,1,0,1,0,-1,0,1,1,0,1,1,0,1,1,1,0,1,-1,1,1,0,1,1,-1,-1,2,1,0,1,0,-1,0,1,1,0,1,1,0,-1,1,0,1,-1,0,0,0,0,1,1,1,0,1,0,1,0,1,-1
Array.7,HR+,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,1,-1,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,-1,1,1,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-1,0,1,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,0,0,0,-1,0,0,0,-1,1,0,1,0,-1,0
Array.21,HER2+,0,2,-1,-1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,1,0,1,1,0,-1,0,-1,0,1,1,0,1,2,0,-1,1,0,0,0,1,0,0,0,0,0,0,2,-1,0,0,0,0,0,-1,-1,1,1,0,1,0,-1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,-1,1
Array.53,HER2+,0,2,0,-1,0,0,-1,0,0,-1,0,-1,-1,1,-1,0,0,0,0,-1,1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,1,0,-1,0,1,0,0,0,0,0,2,1,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,0,2,1,0,0,-1,-1,-1
Array.59,HR+,-1,0,0,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,1,0,0,0,0,-1,-1,2,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,-1,0,0,-1,2,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,0,-1,-1
Array.47,Triple Neg,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,1,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,1,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1
Array.64,Triple Neg,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,1,1,1,-1,-1,0,0,1,1,0,-1,0,1,-1,-1,0,-1,-1,0,1,0,0,0,-1,0,0,1,0,-1,0,1,-1,0,-1,0,0,-1,1,1,1,-1,0,0,-1,0,1,0,0,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,0,0,2,2,-1,0,-1,-1,0,1,1,1,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,1,-1,1,0,-1,0,0,1,1,0,0,1,-1,1,1,0,-1,0
Array.89,HR+,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,-1
Array.35,HR+,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,1,0,-1,0,-1,1,0,0,1,1,-1,0,1,0,-1,-1,-1
Array.93,Triple Neg,1,0,-1,-1,0,0,1,0,-1,0,2,1,-1,1,0,1,-1,0,1,1,0,0,1,1,-1,-1,0,1,1,1,-1,0,0,1,-1,0,1,0,0,1,0,-1,0,1,0,0,-1,1,1,-1,1,0,1,1,-1,1,0,-1,0,1,1,1,0,0,-1,-1,0,1,-1,0,0,0,0,0,1,1,0,1,0,0,-1,0,1,0,0,-1,1,1,1,1,1,-1,0,0,1,0,1,1,-1,0,1,0,1,-1,0,-1,0,1,1,1,1,1,-1,0,1,0,0,0
Array.10,HER2+,-1,2,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,0,-1,0,-1,0,1,0,-1,0,0,-1,-1,0,1,0,0,-1,0,0,1,0,0,0,2,-1,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,-1,1,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,-1,0,1,-1,0,-1,0,1,1,0,1,0,0,0,1,0,-1,-1
Array.123,HR+,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,2,0,1,0,0,0,0,-1,2,2,0,-1,0,-1,0,2,0,0,1,0,-1,-1,1,0,0,0,1,0,1,-1,0,-1,-1,1,0,1,0,-1,-1,0,-1,0,0,0,1,0,1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,-1,1,1,0,1,0,0,1,-1,0,1,0,0,-1,0,-1,-1,1,0,-1,0,0,-1,0,-1,0,1,0,-1,-1,0,-1,0,1,-1,-1,-1,0,1,-1,0,0
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Array.134,HR+,-1,1,-1,-1,1,0,1,1,1,-1,0,0,0,-1,0,1,-1,1,0,0,0,0,1,-1,1,-1,1,0,0,-1,1,0,1,1,0,1,-1,-1,1,1,0,1,1,1,-1,1,-1,-1,0,-1,1,0,1,-1,-1,0,0,1,0,0,1,1,0,1,1,-1,1,1,-1,0,1,1,-1,0,-1,1,-1,1,2,1,1,0,-1,1,-1,0,0,-1,-1,0,-1,-1,1,1,1,1,1,0,-1,-1,-1,0,1,-1,0,-1,1,-1,1,0,0,-1,-1,1,1,-1,0,-1
Array.130,HER2+,1,2,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,1,0,2,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,0,0,0,0,-1,-1,0,0,1,0,0,1,2,-1,1,0,0,0,-1,0,1,0,0,1,1,-1,-1,0,1,-1,0,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,1,0,0,1,1,0,-1
