Sample,Subgroup,1:2927-43870,17:35076296-35282086,12:74728500-75387573,22:26999547-27819338,1:21483025-21545437,12:85450052-85962613,20:194755-763411,17:20569693-20596699,12:51241859-52425218,5:93308740-93320336,16:67314736-68371045,1:35903416-37578554,16:68838368-68874167,6:18550170-19001738,17:60204302-60347930,1:13520352-15852641,22:22725750-22731544,14:32610323-34077415,5:802518-826044,6:32586131-32600962,1:6613363-8038878,16:70601469-71161060,11:32019726-32772242,22:41307174-41912419,14:73071404-73092018,22:28922568-30224848,1:31006782-31124964,13:36198054-40789054,1:29088543-30687222,5:70716278-70721505,17:40859120-40926154,1:1676445-1703748,5:49619946-49866980,11:80263397-80790766,1:3521345-3798798,16:29560500-29582349,6:5839-85465,15:27009381-32443495,14:18624383-19090564,1:31968013-33181040,2:131792734-131931782,5:150224239-152555267,12:64727853-66012212,1:72489681-72620747,3:193425674-193467200,5:763494-786455,16:69391442-69397102,4:897264-916652,4:93240865-100160841,13:20633975-20649522,3:50330225-54374166,18:22269177-22793854,17:41011530-41041674,17:33708879-33836794,8:71114730-72584340,1:199047681-199054142,17:41062669-41447005,3:4109224-4214897,1:26233527-26722236,1:142116690-142435868,1:236280081-237042779,19:20422576-20493401,6:57477427-57636798,9:38805416-39141696,1:46445058-47002412,3:199333505-199383479,16:68606309-68648091,5:68785515-68850823,1:8050444-10537398,1:193480150-193527058,1:120313797-120384620,14:52672118-53311109,6:32766023-32821094,1:149579637-149582884,8:98721543-100441109,6:135204537-135259324,17:36250672-36351895,17:52934138-53132322,1:58269395-58818282,15:62165778-63146938,1:2664285-2665530,14:19154992-19216369,6:22060377-24236375,1:244693374-244865778,6:32718991-32728487,15:32605086-32654561,6:6356121-7863271,1:145647143-145716245,3:75870144-75896020,9:42913008-43066618,3:196908262-196937230,7:38065862-38069416,15:32447707-32511475,22:37683612-37705310,1:145820605-146012014,20:45232779-46038929,16:71180297-71797476,1:2611444-2641811,11:70519863-70552702,20:32377973-32691183,16:30561643-31835555,11:55124730-55194990,4:4308119-4314081,8:19181564-21447923,1:245054641-245071941,8:101808084-102428770,17:77503378-77503685,8:36347029-36416687,16:68710277-68751390,23:3229-45135,4:9047040-9477600,8:120266140-121155354,14:19402284-19490630,14:73106558-73114128,11:95737778-98627006,15:32523241-32594902,16:59325545-61138989,8:29592601-30101874,16:32378126-32748349,8:97415915-97633935
Array.82,HR+,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,1,0,1,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,2,1,1,-1,0,0,1,1,-1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,-1,-1,0,1,0,0,0,0,0,-1,1,-1,0,1,0,1,1,1,0,0,1,1,1,0,-1,-1,0,1,-1,1,0,-1,0,0,1,1
Array.139,HER2+,0,2,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,1,1,1,-1,0,0,1,1,0,0,-1,0,0,-1,0,0,1,0,0,0,1,1,0,-1,2,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1,1,0,0,0,-1,0,-1,1,1,-1,-1,-1,0,0,2,-1,0,0,0,-1,-1,1,1
Array.2,HR+,1,1,1,0,0,0,1,-1,0,-1,0,0,1,-1,0,0,-1,-1,0,-1,0,0,0,-1,1,-1,0,-1,0,0,-1,0,1,-1,0,1,-1,0,0,0,-1,1,0,-1,1,0,0,-1,-1,-1,-1,-1,0,0,1,1,0,0,0,0,1,0,0,-1,-1,0,0,-1,0,1,0,0,-1,0,1,-1,-1,1,-1,0,0,0,-1,1,-1,0,-1,1,-1,-1,1,0,1,0,1,1,0,1,0,1,1,0,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,0,-1,1,0,-1,0,1
Array.117,HR+,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,0,1,0,0,-1,-1,1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,1,0
Array.60,HR+,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-1,0,0,-1,1,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0
Array.72,HER2+,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,-1,0,0,0,1,1,1,1,0,0,0,1,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,-1,1,0,1,-1,1,0,1,0,-1,1,1,-1,-1,0,0,0,1,-1,0,0,0,0,-1,0,1
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Array.137,HR+,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,0,-1,0,1,1,0,0,0,0,0,-1,0,0,1,0,-1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,-1,0,0,0,0,-1,1,0,-1,1,0,0,0,-1,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,0,-1,0,0,0
Array.145,Triple Neg,-1,0,-1,0,0,-1,0,0,-1,-1,-1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,1,1,0,0,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,0,2,0,1,1,0,0,-1,-1,-1,0,-1,0,1,0,-1,-1,1,-1,1,1,0,-1,-1,0,-1,-1,0,2,-1,0,-1,1,-1,1,1,0,-1,0,-1,0,1,-1,-1,0,-1,-1,-1,1,1
Array.31,Triple Neg,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,2,-1,1,1,0,1,-1,1,1,0,1,0,0,1,0,2,1,1,0,0,1,1,1,0,0,-1,1,2,1,0,1,1,0,1,0,0,2,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,2,2,1,0,0,1,0,1,1,1,1,1,-1,1,1,0,1,1,0,0,-1,1,1,1,1,1,0,1,-1,0,0,1,2,1,2,2,1,1,2,0,0,2,-1,1,0,1,2
Array.111,Triple Neg,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,-1,1,0,0,0,-1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,-1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,-1,1,1,0,1,1,1,0,0,1,-1,1,1,0,1,2,2,0,1,0,0,1,1,1,0,-1,0,1,1,1,0,1,0,1,0,-1,1,1,0,-1,1,1,0,2,-1,1,1,0,1,-1,1,1
Array.7,HR+,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,2,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,1,0,-1,1,0,0,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,1,-1,0,-1,0,0,-1,0,1
Array.21,HER2+,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,-1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,-1,0,0,0,2,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,-1,0,1,-1,0,-1,1,1,1,-1,-1,1,0,0,-1,0,0,0,1,-1,1,1
Array.53,HER2+,0,2,0,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,-1,0,1,-1,0,-1,-1,0,-1,2,0,1,0,0,1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,0,2,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0
Array.71,Triple Neg,0,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,-1,0,-1,1,1,-1,1,-1,0,0,-1,0,-1,0,0,-1,1,1,0,-1,0,-1,0,0,-1,0,0,1,-1,1,0,0,-1,-1,-1,0,0,1,1,0,-1,0,1,1,1,0,0,1,1,0,-1,1,1,1,-1,0,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,0,-1,0,1,-1,0,0,0,0,0,1,-1,0,0,-1,1,-1,-1,2,0,0,-1,1,0,1,-1,-1,-1,0,0,-1,0,1
Array.47,Triple Neg,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,-1,1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,-1,0,-1,-1,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,1,1,1,0,0,1,-1,1,1,0,-1,0,0,0,1,1
Array.107,Triple Neg,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,1,0,0,-1,0,0,1,0,1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,1,1,0,1,0,0,1,0,-1,0,1,0,0,1,1,0,0,0,0,0,-1,0,1,1,1,1,0,1,0,0,0,1,0,0,-1,-1,0,-1,1,-1,0,0,-1,0,-1,1,0,0,-1,-1,0,0,0,1,-1,0,0,0,-1,1,0
Array.64,Triple Neg,0,0,-1,1,0,-1,-1,0,-1,-1,0,-1,0,1,0,0,1,0,1,-1,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,1,0,-1,-1,-1,0,-1,0,0,0,1,0,0,-1,-1,1,-1,0,0,-1,0,0,-1,0,1,0,0,0,1,0,1,0,0,-1,-1,1,-1,1,1,0,-1,1,0,-1,0,1,1,-1,0,0,0,0,1,-1,1,0,-1,-1,-1,1,0,0,1,0,0,-1,0,-1,-1,0,-1,0,-1,0,1
Array.30,Triple Neg,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,-1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,2,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,-1,0,1,1,1,-1,1,0,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,1,0,1,1
Array.35,HR+,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,-1,1,0,0,0,1,1,1,1,-1,-1,0,-1,0,-1,0,1,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0
Array.10,HER2+,0,2,0,-1,0,0,0,2,0,0,0,-1,0,0,1,0,-1,0,1,-1,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,-1,0,0,0,-1,0,0,1,-1,0,0,1,1,1,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,0,2,1,0,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,-1,0,0,-1,0,0
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
Array.130,HER2+,0,2,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,2,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,1,0,-1,0,-1,0,2,0,-1,0,0,0,0,-1,-1,1,1,-1,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,1,1,1,-1,0,1,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,-1,1,1,-1,0,0,1,-1,1,0,0,0,0,0,-1,0,1
